 Val contrastive loss, Val bce loss, Val total loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.011022,0.180735,0.191757,0.944809,0.905618,0.956576,0.9304,0.971745,0.937423,0.954276,0.944809,0.944809,0.944809,0.938682,0.947,0.942338
0.011056,0.164638,0.175693,0.950326,0.933738,0.937736,0.935733,0.960812,0.958229,0.959519,0.950326,0.950326,0.950326,0.947275,0.947983,0.947626
0.011083,0.16136,0.172443,0.944906,0.914858,0.945091,0.929729,0.964804,0.944791,0.954692,0.944906,0.944906,0.944906,0.939831,0.944941,0.942211
0.011078,0.165119,0.176197,0.948189,0.949796,0.913959,0.931533,0.947242,0.969676,0.958327,0.948189,0.948189,0.948189,0.948519,0.941817,0.94493
0.011173,0.162196,0.173369,0.945178,0.909607,0.952496,0.930558,0.969272,0.940585,0.954713,0.945178,0.945178,0.945178,0.93944,0.946541,0.942635
0.011413,0.163351,0.174764,0.947335,0.919522,0.94625,0.932694,0.965634,0.948016,0.956744,0.947335,0.947335,0.947335,0.942578,0.947133,0.944719
0.010839,0.174992,0.185831,0.949646,0.942697,0.925696,0.93412,0.953882,0.96468,0.95925,0.949646,0.949646,0.949646,0.94829,0.945188,0.946685
0.011155,0.176005,0.18716,0.947121,0.921212,0.94358,0.932262,0.964037,0.949344,0.956634,0.947121,0.947121,0.947121,0.942624,0.946462,0.944448
0.011238,0.167246,0.178484,0.944673,0.907453,0.953806,0.930052,0.970043,0.938941,0.954239,0.944673,0.944673,0.944673,0.938748,0.946373,0.942145
0.011125,0.171132,0.182257,0.948442,0.92683,0.940557,0.933643,0.962338,0.953391,0.957844,0.948442,0.948442,0.948442,0.944584,0.946974,0.945743
0.013381,0.166282,0.179662,0.949258,0.942366,0.924991,0.933598,0.953456,0.96449,0.958941,0.949258,0.949258,0.949258,0.947911,0.944741,0.946269
0.010944,0.166037,0.176982,0.948384,0.92105,0.947358,0.934019,0.966353,0.949028,0.957612,0.948384,0.948384,0.948384,0.943702,0.948193,0.945815
0.011201,0.17041,0.181611,0.945936,0.913349,0.949927,0.931279,0.967759,0.943431,0.95544,0.945936,0.945936,0.945936,0.940554,0.946679,0.943359
